query,labels,example_type
Show me the latest funding round for Google. Retrieve recent articles about startup funding. List the next tech conferences for startups.,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,EVENT_QUERY",triple
Get details on Microsoft's funding rounds. What are the current funding news headlines? What industry events are happening this month for startups?,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,EVENT_QUERY",triple
What funding rounds has Apple completed? Show me the latest funding news in the startup world. Show me current market trends in the startup ecosystem.,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple
Show me the latest funding round for Google. Retrieve recent articles about startup funding. What are the latest market trends in tech startups?,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple
Get details on Microsoft's funding rounds. What are the current funding news headlines? Retrieve trends in the venture capital market.,"FUNDING_ROUND_QUERY,FUNDING_NEWS_QUERY,MARKET_TRENDS_QUERY",triple
What funding rounds has Apple completed? Show me upcoming industry events for startups. Show me current market trends in the startup ecosystem.,"FUNDING_ROUND_QUERY,EVENT_QUERY,MARKET_TRENDS_QUERY",triple
Show me the latest funding round for Google. List the next tech conferences for startups. What are the latest market trends in tech startups?,"FUNDING_ROUND_QUERY,EVENT_QUERY,MARKET_TRENDS_QUERY",triple
Get details on Microsoft's funding rounds. What industry events are happening this month for startups? Retrieve trends in the venture capital market.,"FUNDING_ROUND_QUERY,EVENT_QUERY,MARKET_TRENDS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me profiles of top investors in the startup ecosystem.,"ACQUISITION_QUERY,IPO_QUERY,INVESTOR_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Who are the leading investors in tech startups?,"ACQUISITION_QUERY,IPO_QUERY,INVESTOR_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve details about venture capital firms investing in AI.,"ACQUISITION_QUERY,IPO_QUERY,INVESTOR_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Give me the investment history for Apple.,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_DETAILS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Show me the past investments made by Google.,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_DETAILS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve the investment details for Microsoft.,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_DETAILS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me the parent company of YouTube.,"ACQUISITION_QUERY,IPO_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. What is the subsidiary relationship of Alphabet?,"ACQUISITION_QUERY,IPO_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve details on the organizational hierarchy of Samsung.,"ACQUISITION_QUERY,IPO_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Who are the co-investors in Apple's latest funding round?,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. List the investment partners for Google in its recent round.,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_PARTNER_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Show me the co-investors for Microsoft's latest funding round.,"ACQUISITION_QUERY,IPO_QUERY,INVESTMENT_PARTNER_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me details on Sequoia Capital's funds.,"ACQUISITION_QUERY,IPO_QUERY,FUNDS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Retrieve information on Andreessen Horowitz's funds.,"ACQUISITION_QUERY,IPO_QUERY,FUNDS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Give me the fund details for SoftBank.,"ACQUISITION_QUERY,IPO_QUERY,FUNDS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me current job openings at Apple.,"ACQUISITION_QUERY,IPO_QUERY,JOBS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. List the latest job openings for Google.,"ACQUISITION_QUERY,IPO_QUERY,JOBS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve recent job postings at Microsoft.,"ACQUISITION_QUERY,IPO_QUERY,JOBS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me the profile of Elon Musk.,"ACQUISITION_QUERY,IPO_QUERY,PEOPLE_PROFILE_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Retrieve the profile of Jeff Bezos.,"ACQUISITION_QUERY,IPO_QUERY,PEOPLE_PROFILE_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Give me the profile of Sundar Pichai.,"ACQUISITION_QUERY,IPO_QUERY,PEOPLE_PROFILE_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? What is Elon Musk's educational background?,"ACQUISITION_QUERY,IPO_QUERY,EDUCATION_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Show me the degrees held by Jeff Bezos.,"ACQUISITION_QUERY,IPO_QUERY,EDUCATION_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve the educational qualifications of Sundar Pichai.,"ACQUISITION_QUERY,IPO_QUERY,EDUCATION_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Who are the main competitors of Apple?,"ACQUISITION_QUERY,IPO_QUERY,COMPETITOR_LOOKUP",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. List Google's top competitors.,"ACQUISITION_QUERY,IPO_QUERY,COMPETITOR_LOOKUP",triple
List the companies acquired by Google. What are the IPO dates for Google? Show me the competitors of Microsoft.,"ACQUISITION_QUERY,IPO_QUERY,COMPETITOR_LOOKUP",triple
What acquisitions has Apple made? Which companies have gone public recently? Identify companies in cybersecurity that recently secured funding.,"ACQUISITION_QUERY,IPO_QUERY,LEAD_GENERATION_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Show me startups in AI that are potential sales leads.,"ACQUISITION_QUERY,IPO_QUERY,LEAD_GENERATION_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? List emerging fintech companies for lead generation.,"ACQUISITION_QUERY,IPO_QUERY,LEAD_GENERATION_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Provide an analysis of the top 5 players in the cloud computing market.,"ACQUISITION_QUERY,IPO_QUERY,MARKET_ANALYSIS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Show me a market analysis of the fintech sector.,"ACQUISITION_QUERY,IPO_QUERY,MARKET_ANALYSIS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? What are the current trends in the startup ecosystem?,"ACQUISITION_QUERY,IPO_QUERY,MARKET_ANALYSIS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me the latest TechCrunch articles on startups.,"ACQUISITION_QUERY,IPO_QUERY,TECH_NEWS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Retrieve recent tech news on emerging startups.,"ACQUISITION_QUERY,IPO_QUERY,TECH_NEWS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? What are the latest tech headlines in the startup world?,"ACQUISITION_QUERY,IPO_QUERY,TECH_NEWS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me the latest funding news in the startup world.,"ACQUISITION_QUERY,IPO_QUERY,FUNDING_NEWS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. Retrieve recent articles about startup funding.,"ACQUISITION_QUERY,IPO_QUERY,FUNDING_NEWS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? What are the current funding news headlines?,"ACQUISITION_QUERY,IPO_QUERY,FUNDING_NEWS_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me upcoming industry events for startups.,"ACQUISITION_QUERY,IPO_QUERY,EVENT_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. List the next tech conferences for startups.,"ACQUISITION_QUERY,IPO_QUERY,EVENT_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? What industry events are happening this month for startups?,"ACQUISITION_QUERY,IPO_QUERY,EVENT_QUERY",triple
What acquisitions has Apple made? Which companies have gone public recently? Show me current market trends in the startup ecosystem.,"ACQUISITION_QUERY,IPO_QUERY,MARKET_TRENDS_QUERY",triple
Show me Apple's acquisition history. Show me the IPO details for Apple. What are the latest market trends in tech startups?,"ACQUISITION_QUERY,IPO_QUERY,MARKET_TRENDS_QUERY",triple
List the companies acquired by Google. What are the IPO dates for Google? Retrieve trends in the venture capital market.,"ACQUISITION_QUERY,IPO_QUERY,MARKET_TRENDS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Give me the investment history for Apple.,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Show me the past investments made by Google.,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Retrieve the investment details for Microsoft.,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_DETAILS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me the parent company of YouTube.,"ACQUISITION_QUERY,INVESTOR_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? What is the subsidiary relationship of Alphabet?,"ACQUISITION_QUERY,INVESTOR_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Retrieve details on the organizational hierarchy of Samsung.,"ACQUISITION_QUERY,INVESTOR_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Who are the co-investors in Apple's latest funding round?,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? List the investment partners for Google in its recent round.,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_PARTNER_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Show me the co-investors for Microsoft's latest funding round.,"ACQUISITION_QUERY,INVESTOR_QUERY,INVESTMENT_PARTNER_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me details on Sequoia Capital's funds.,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Retrieve information on Andreessen Horowitz's funds.,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Give me the fund details for SoftBank.,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me current job openings at Apple.,"ACQUISITION_QUERY,INVESTOR_QUERY,JOBS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? List the latest job openings for Google.,"ACQUISITION_QUERY,INVESTOR_QUERY,JOBS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Retrieve recent job postings at Microsoft.,"ACQUISITION_QUERY,INVESTOR_QUERY,JOBS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me the profile of Elon Musk.,"ACQUISITION_QUERY,INVESTOR_QUERY,PEOPLE_PROFILE_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Retrieve the profile of Jeff Bezos.,"ACQUISITION_QUERY,INVESTOR_QUERY,PEOPLE_PROFILE_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Give me the profile of Sundar Pichai.,"ACQUISITION_QUERY,INVESTOR_QUERY,PEOPLE_PROFILE_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. What is Elon Musk's educational background?,"ACQUISITION_QUERY,INVESTOR_QUERY,EDUCATION_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Show me the degrees held by Jeff Bezos.,"ACQUISITION_QUERY,INVESTOR_QUERY,EDUCATION_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Retrieve the educational qualifications of Sundar Pichai.,"ACQUISITION_QUERY,INVESTOR_QUERY,EDUCATION_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Who are the main competitors of Apple?,"ACQUISITION_QUERY,INVESTOR_QUERY,COMPETITOR_LOOKUP",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? List Google's top competitors.,"ACQUISITION_QUERY,INVESTOR_QUERY,COMPETITOR_LOOKUP",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Show me the competitors of Microsoft.,"ACQUISITION_QUERY,INVESTOR_QUERY,COMPETITOR_LOOKUP",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Identify companies in cybersecurity that recently secured funding.,"ACQUISITION_QUERY,INVESTOR_QUERY,LEAD_GENERATION_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Show me startups in AI that are potential sales leads.,"ACQUISITION_QUERY,INVESTOR_QUERY,LEAD_GENERATION_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. List emerging fintech companies for lead generation.,"ACQUISITION_QUERY,INVESTOR_QUERY,LEAD_GENERATION_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Provide an analysis of the top 5 players in the cloud computing market.,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Show me a market analysis of the fintech sector.,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. What are the current trends in the startup ecosystem?,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_ANALYSIS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me the latest TechCrunch articles on startups.,"ACQUISITION_QUERY,INVESTOR_QUERY,TECH_NEWS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Retrieve recent tech news on emerging startups.,"ACQUISITION_QUERY,INVESTOR_QUERY,TECH_NEWS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. What are the latest tech headlines in the startup world?,"ACQUISITION_QUERY,INVESTOR_QUERY,TECH_NEWS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me the latest funding news in the startup world.,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDING_NEWS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? Retrieve recent articles about startup funding.,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDING_NEWS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. What are the current funding news headlines?,"ACQUISITION_QUERY,INVESTOR_QUERY,FUNDING_NEWS_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me upcoming industry events for startups.,"ACQUISITION_QUERY,INVESTOR_QUERY,EVENT_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? List the next tech conferences for startups.,"ACQUISITION_QUERY,INVESTOR_QUERY,EVENT_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. What industry events are happening this month for startups?,"ACQUISITION_QUERY,INVESTOR_QUERY,EVENT_QUERY",triple
What acquisitions has Apple made? Show me profiles of top investors in the startup ecosystem. Show me current market trends in the startup ecosystem.,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_TRENDS_QUERY",triple
Show me Apple's acquisition history. Who are the leading investors in tech startups? What are the latest market trends in tech startups?,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_TRENDS_QUERY",triple
List the companies acquired by Google. Retrieve details about venture capital firms investing in AI. Retrieve trends in the venture capital market.,"ACQUISITION_QUERY,INVESTOR_QUERY,MARKET_TRENDS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me the parent company of YouTube.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. What is the subsidiary relationship of Alphabet?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Retrieve details on the organizational hierarchy of Samsung.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,ORGANIZATION_RELATIONSHIP_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Who are the co-investors in Apple's latest funding round?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. List the investment partners for Google in its recent round.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,INVESTMENT_PARTNER_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Show me the co-investors for Microsoft's latest funding round.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,INVESTMENT_PARTNER_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me details on Sequoia Capital's funds.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Retrieve information on Andreessen Horowitz's funds.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Give me the fund details for SoftBank.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me current job openings at Apple.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,JOBS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. List the latest job openings for Google.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,JOBS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Retrieve recent job postings at Microsoft.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,JOBS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me the profile of Elon Musk.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,PEOPLE_PROFILE_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Retrieve the profile of Jeff Bezos.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,PEOPLE_PROFILE_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Give me the profile of Sundar Pichai.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,PEOPLE_PROFILE_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. What is Elon Musk's educational background?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EDUCATION_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Show me the degrees held by Jeff Bezos.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EDUCATION_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Retrieve the educational qualifications of Sundar Pichai.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EDUCATION_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Who are the main competitors of Apple?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,COMPETITOR_LOOKUP",triple
Show me Apple's acquisition history. Show me the past investments made by Google. List Google's top competitors.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,COMPETITOR_LOOKUP",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Show me the competitors of Microsoft.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,COMPETITOR_LOOKUP",triple
What acquisitions has Apple made? Give me the investment history for Apple. Identify companies in cybersecurity that recently secured funding.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,LEAD_GENERATION_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Show me startups in AI that are potential sales leads.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,LEAD_GENERATION_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. List emerging fintech companies for lead generation.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,LEAD_GENERATION_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Provide an analysis of the top 5 players in the cloud computing market.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_ANALYSIS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Show me a market analysis of the fintech sector.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_ANALYSIS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. What are the current trends in the startup ecosystem?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_ANALYSIS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me the latest TechCrunch articles on startups.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,TECH_NEWS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Retrieve recent tech news on emerging startups.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,TECH_NEWS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. What are the latest tech headlines in the startup world?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,TECH_NEWS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me the latest funding news in the startup world.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDING_NEWS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. Retrieve recent articles about startup funding.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDING_NEWS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. What are the current funding news headlines?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,FUNDING_NEWS_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me upcoming industry events for startups.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EVENT_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. List the next tech conferences for startups.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EVENT_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. What industry events are happening this month for startups?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,EVENT_QUERY",triple
What acquisitions has Apple made? Give me the investment history for Apple. Show me current market trends in the startup ecosystem.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",triple
Show me Apple's acquisition history. Show me the past investments made by Google. What are the latest market trends in tech startups?,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",triple
List the companies acquired by Google. Retrieve the investment details for Microsoft. Retrieve trends in the venture capital market.,"ACQUISITION_QUERY,INVESTMENT_DETAILS_QUERY,MARKET_TRENDS_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Who are the co-investors in Apple's latest funding round?,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,INVESTMENT_PARTNER_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? List the investment partners for Google in its recent round.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,INVESTMENT_PARTNER_QUERY",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Show me the co-investors for Microsoft's latest funding round.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,INVESTMENT_PARTNER_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Show me details on Sequoia Capital's funds.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? Retrieve information on Andreessen Horowitz's funds.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Give me the fund details for SoftBank.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,FUNDS_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Show me current job openings at Apple.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? List the latest job openings for Google.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Retrieve recent job postings at Microsoft.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,JOBS_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Show me the profile of Elon Musk.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? Retrieve the profile of Jeff Bezos.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Give me the profile of Sundar Pichai.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,PEOPLE_PROFILE_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. What is Elon Musk's educational background?,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,EDUCATION_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? Show me the degrees held by Jeff Bezos.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,EDUCATION_QUERY",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Retrieve the educational qualifications of Sundar Pichai.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,EDUCATION_QUERY",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Who are the main competitors of Apple?,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,COMPETITOR_LOOKUP",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? List Google's top competitors.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,COMPETITOR_LOOKUP",triple
List the companies acquired by Google. Retrieve details on the organizational hierarchy of Samsung. Show me the competitors of Microsoft.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,COMPETITOR_LOOKUP",triple
What acquisitions has Apple made? Show me the parent company of YouTube. Identify companies in cybersecurity that recently secured funding.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,LEAD_GENERATION_QUERY",triple
Show me Apple's acquisition history. What is the subsidiary relationship of Alphabet? Show me startups in AI that are potential sales leads.,"ACQUISITION_QUERY,ORGANIZATION_RELATIONSHIP_QUERY,LEAD_GENERATION_QUERY",triple
